               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.023068,           0.0061618,           0.0021164,             0.98768,             0.99285,             0.99208,             0.70081,            0.026165,           0.0062109,           0.0024234,            0.002212,            0.002212,            0.002212
                 120,            0.022824,           0.0062227,           0.0021111,             0.98405,             0.99306,             0.99209,             0.70639,             0.02442,           0.0061803,           0.0025543,            0.002146,            0.002146,            0.002146
                 121,            0.022098,           0.0062321,           0.0022854,             0.98271,             0.99406,             0.99209,             0.68435,            0.025129,           0.0062198,           0.0025014,             0.00208,             0.00208,             0.00208
                 122,            0.021932,           0.0059974,           0.0021879,             0.98474,             0.99161,             0.99219,             0.75128,            0.024206,           0.0061048,           0.0023527,            0.002014,            0.002014,            0.002014
                 123,            0.019331,           0.0058881,           0.0021427,             0.98175,             0.99396,             0.99213,             0.69333,            0.024623,           0.0062561,           0.0023537,            0.001948,            0.001948,            0.001948
                 124,            0.022962,            0.006095,           0.0021069,             0.98463,              0.9872,             0.99154,             0.68723,            0.028723,           0.0063667,           0.0024401,            0.001882,            0.001882,            0.001882
                 125,             0.02145,           0.0063837,           0.0020737,             0.98253,             0.98516,             0.98776,             0.74033,            0.023754,           0.0062639,           0.0024262,            0.001816,            0.001816,            0.001816
                 126,            0.020714,           0.0058222,           0.0020214,              0.9833,             0.99287,             0.99204,              0.7307,            0.024295,           0.0062187,           0.0025441,             0.00175,             0.00175,             0.00175
                 127,            0.019093,           0.0057625,           0.0020854,             0.98619,             0.99221,             0.99193,             0.66567,            0.025965,           0.0064041,           0.0025927,            0.001684,            0.001684,            0.001684
                 128,            0.021571,           0.0059898,           0.0018904,             0.98496,             0.98756,             0.98759,             0.72017,            0.024446,           0.0062861,           0.0025642,            0.001618,            0.001618,            0.001618
                 129,            0.019462,            0.005896,            0.001913,             0.98446,             0.99226,             0.99194,             0.74037,            0.023732,           0.0062464,           0.0023219,            0.001552,            0.001552,            0.001552
                 130,            0.017943,           0.0057006,           0.0018267,             0.98781,             0.99172,             0.99197,             0.71491,            0.024028,           0.0062476,           0.0021346,            0.001486,            0.001486,            0.001486
                 131,            0.017629,           0.0057177,           0.0016653,             0.98772,             0.99174,             0.99201,             0.73781,            0.023055,           0.0062217,           0.0019515,             0.00142,             0.00142,             0.00142
                 132,            0.018017,           0.0057033,           0.0015635,               0.989,              0.9906,               0.992,             0.72245,            0.023692,            0.006221,            0.001863,            0.001354,            0.001354,            0.001354
                 133,            0.016654,           0.0054577,             0.00149,             0.98937,             0.99113,             0.99199,             0.73512,            0.023124,            0.006137,           0.0017672,            0.001288,            0.001288,            0.001288
                 134,            0.016124,           0.0056194,           0.0015385,             0.98814,             0.99146,             0.99204,             0.75154,            0.022364,           0.0060471,            0.001672,            0.001222,            0.001222,            0.001222
                 135,            0.016033,           0.0055465,           0.0013481,             0.98856,             0.99103,             0.99201,              0.7206,            0.023265,           0.0061937,            0.001654,            0.001156,            0.001156,            0.001156
                 136,            0.017071,           0.0057207,           0.0013332,             0.98786,             0.99022,             0.99204,             0.72792,            0.023337,           0.0061202,           0.0015646,             0.00109,             0.00109,             0.00109
                 137,            0.015885,           0.0054884,           0.0012785,             0.98788,             0.99258,             0.99204,             0.74657,            0.022178,           0.0060366,           0.0014941,            0.001024,            0.001024,            0.001024
                 138,             0.01637,           0.0054967,           0.0012302,             0.98738,             0.99214,             0.99204,             0.74225,            0.023739,           0.0061856,           0.0014755,            0.000958,            0.000958,            0.000958
                 139,            0.015617,            0.005504,           0.0012282,             0.98716,             0.99232,             0.99202,             0.74423,            0.022846,           0.0061124,           0.0014814,            0.000892,            0.000892,            0.000892
                 140,             0.01536,           0.0053365,           0.0012279,             0.98719,              0.9914,             0.99201,             0.75503,            0.022018,           0.0061223,           0.0015095,            0.000826,            0.000826,            0.000826
                 141,             0.01541,           0.0056308,           0.0012033,             0.98665,              0.9908,             0.99204,             0.73679,            0.022359,           0.0061683,           0.0014248,             0.00076,             0.00076,             0.00076
                 142,            0.014347,           0.0054369,           0.0011585,             0.98735,             0.99117,             0.99205,             0.74242,            0.021905,           0.0060954,           0.0013588,            0.000694,            0.000694,            0.000694
                 143,            0.014623,           0.0053591,           0.0011353,             0.98807,             0.99157,             0.99204,              0.7395,            0.022601,            0.006155,           0.0013227,            0.000628,            0.000628,            0.000628
                 144,            0.013943,           0.0052815,           0.0011333,             0.98837,             0.99161,             0.99206,             0.75626,            0.022036,           0.0060676,           0.0012772,            0.000562,            0.000562,            0.000562
                 145,            0.013916,           0.0052847,           0.0010733,              0.9886,             0.99209,             0.99206,             0.74694,            0.022221,           0.0060632,           0.0012167,            0.000496,            0.000496,            0.000496
                 146,             0.01351,           0.0052758,           0.0010222,             0.98811,              0.9919,             0.99207,             0.74484,            0.022226,           0.0060958,           0.0011975,             0.00043,             0.00043,             0.00043
                 147,            0.013507,           0.0051377,           0.0010122,              0.9887,             0.99227,             0.99206,             0.74938,            0.021744,           0.0060568,           0.0011713,            0.000364,            0.000364,            0.000364
                 148,            0.013234,           0.0051705,          0.00095653,             0.98936,             0.99154,             0.99204,             0.74676,            0.021796,           0.0060875,           0.0011732,            0.000298,            0.000298,            0.000298
                 149,            0.013443,           0.0055251,           0.0010109,             0.98903,             0.99143,             0.99204,              0.7494,             0.02204,           0.0060895,           0.0011374,            0.000232,            0.000232,            0.000232
